Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
02/01/2023,United States,2020,1,2020-01-04,60193,55019,843,11569,1829,2537,1559,3502,1068,1094,630,14210,3110,0,0,,,,,,,,,,,,,,,
02/01/2023,United States,2020,2,2020-01-11,60735,55754,861,11962,1942,2566,1528,3708,1035,1092,649,13911,3189,1,1,,,,,,,,,,,,,,,
02/01/2023,United States,2020,3,2020-01-18,59362,54516,829,11701,1819,2491,1484,3526,992,1121,612,13593,3256,2,1,,,,,,,,,,,,,,,
02/01/2023,United States,2020,4,2020-01-25,59162,54401,828,11879,1864,2517,1488,3403,979,1107,638,13612,3185,3,2,,,,,,,,,,,,,,,
02/01/2023,United States,2020,5,2020-02-01,58844,54007,811,11964,1828,2480,1411,3314,981,1074,616,13467,3084,0,0,,,,,,,,,,,,,,,
02/01/2023,United States,2020,6,2020-02-08,59482,54411,806,11704,1957,2515,1463,3413,975,1135,600,14001,3056,4,3,,,,,,,,,,,,,,,
02/01/2023,United States,2020,7,2020-02-15,58815,53969,792,11807,1848,2537,1515,3477,979,1070,613,13641,3089,6,2,,,,,,,,,,,,,,,
02/01/2023,United States,2020,8,2020-02-22,58912,53987,779,11780,1880,2515,1462,3454,968,1059,608,13632,3083,6,6,,,,,,,,,,,,,,,
02/01/2023,United States,2020,9,2020-02-29,59343,54321,814,11790,1831,2519,1508,3460,1011,1092,676,13718,3126,9,9,,,,,,,,,,,,,,,
02/01/2023,United States,2020,10,2020-03-07,59694,54386,811,11712,1867,2511,1608,3470,1002,1071,654,13684,3097,38,34,,,,,,,,,,,,,,,
02/01/2023,United States,2020,11,2020-03-14,58673,53530,756,11568,1743,2445,1641,3390,993,1078,643,13437,3165,60,55,,,,,,,,,,,,,,,
02/01/2023,United States,2020,12,2020-03-21,59219,54301,840,11732,1830,2514,1740,3384,1021,1105,617,13203,3066,588,550,,,,,,,,,,,,,,,
02/01/2023,United States,2020,13,2020-03-28,63048,58253,846,11782,2045,2749,1783,3520,1064,1024,630,13719,3067,3226,3043,,,,,,,,,,,,,,,
02/01/2023,United States,2020,14,2020-04-04,72294,67445,948,11592,2298,2871,1849,3538,1027,1038,689,14945,3165,10141,9638,,,,,,,,,,,,,,,
02/01/2023,United States,2020,15,2020-04-11,79096,74004,833,11549,2354,2963,1613,3441,1017,1120,664,15762,3191,16347,15528,,,,,,,,,,,,,,,
02/01/2023,United States,2020,16,2020-04-18,76809,71895,745,11210,2270,2899,1232,3195,916,1098,668,14570,3204,17221,16305,,,,,,,,,,,,,,,
02/01/2023,United States,2020,17,2020-04-25,73909,68740,735,11367,2085,2804,1138,2993,887,987,675,13858,3058,15557,14659,,,,,,,,,,,,,,,
02/01/2023,United States,2020,18,2020-05-02,69321,63939,739,11097,1935,2727,1009,2929,851,961,548,13008,3042,13223,12437,,,,,,,,,,,,,,,
02/01/2023,United States,2020,19,2020-05-09,66814,61173,720,11014,1972,2498,864,2808,855,938,587,13170,2849,11243,10463,,,,,,,,,,,,,,,
02/01/2023,United States,2020,20,2020-05-16,64479,58978,679,11269,1969,2432,857,2770,787,976,563,12735,2958,9239,8497,,,,,,,,,,,,,,,
02/01/2023,United States,2020,21,2020-05-23,61642,56014,713,11116,1834,2417,804,2675,743,917,569,12796,2827,7249,6593,,,,,,,,,,,,,,,
02/01/2023,United States,2020,22,2020-05-30,59682,53987,654,10903,1813,2261,751,2634,759,893,576,12448,2851,6176,5596,,,,,,,,,,,,,,,
02/01/2023,United States,2020,23,2020-06-06,58908,52924,729,11083,1727,2302,701,2563,779,904,554,12463,2791,5060,4519,,,,,,,,,,,,,,,
02/01/2023,United States,2020,24,2020-06-13,58034,52274,693,11130,1741,2326,700,2502,737,923,587,12413,2838,4233,3730,,,,,,,,,,,,,,,
02/01/2023,United States,2020,25,2020-06-20,58011,52223,685,11157,1792,2362,756,2564,761,933,613,12420,2923,3852,3347,,,,,,,,,,,,,,,
02/01/2023,United States,2020,26,2020-06-27,58510,52643,719,11356,1766,2288,722,2539,775,952,575,12515,2959,3846,3333,,,,,,,,,,,,,,,
02/01/2023,United States,2020,27,2020-07-04,59825,53803,682,11298,1933,2362,658,2623,780,985,591,12869,2832,4557,4050,,,,,,,,,,,,,,,
02/01/2023,United States,2020,28,2020-07-11,61945,55843,764,11333,1954,2472,739,2614,751,915,668,13029,2921,5786,5236,,,,,,,,,,,,,,,
02/01/2023,United States,2020,29,2020-07-18,63177,57140,708,11373,1887,2501,767,2647,712,984,666,12868,2982,7198,6530,,,,,,,,,,,,,,,
02/01/2023,United States,2020,30,2020-07-25,64249,58386,683,11553,1957,2510,781,2559,730,969,672,12933,2913,8250,7521,,,,,,,,,,,,,,,
02/01/2023,United States,2020,31,2020-08-01,64252,58290,689,11514,1989,2502,760,2738,779,961,624,12847,2989,8308,7613,,,,,,,,,,,,,,,
02/01/2023,United States,2020,32,2020-08-08,63719,57822,785,11529,1797,2434,782,2594,730,909,671,12819,3036,7870,7182,,,,,,,,,,,,,,,
02/01/2023,United States,2020,33,2020-08-15,63665,57760,736,11705,1895,2527,754,2657,798,969,638,12849,2946,7270,6563,,,,,,,,,,,,,,,
02/01/2023,United States,2020,34,2020-08-22,62562,56595,735,11517,1935,2566,697,2642,783,967,624,12769,2930,6389,5748,,,,,,,,,,,,,,,
02/01/2023,United States,2020,35,2020-08-29,61104,55332,726,11576,1883,2430,678,2559,745,983,609,12476,2994,5755,5153,,,,,,,,,,,,,,,
02/01/2023,United States,2020,36,2020-09-05,60260,54248,701,11376,1837,2506,733,2552,801,929,572,12518,2862,5021,4434,,,,,,,,,,,,,,,
02/01/2023,United States,2020,37,2020-09-12,59665,53942,697,11468,1899,2330,681,2560,748,928,604,12355,3046,4628,4078,,,,,,,,,,,,,,,
02/01/2023,United States,2020,38,2020-09-19,59740,54127,744,11630,1861,2373,716,2518,778,921,624,12692,2948,4280,3764,,,,,,,,,,,,,,,
02/01/2023,United States,2020,39,2020-09-26,60613,55059,764,11863,1843,2499,724,2672,786,923,588,12710,3077,4305,3797,,,,,,,,,,,,,,,
02/01/2023,United States,2020,40,2020-10-03,59802,54099,718,11424,1895,2413,763,2578,719,944,646,12651,2886,4246,3699,,,,,,,,,,,,,,,
02/01/2023,United States,2020,41,2020-10-10,61779,55933,757,11829,1895,2515,726,2614,798,958,621,12810,3123,4823,4279,,,,,,,,,,,,,,,
02/01/2023,United States,2020,42,2020-10-17,60663,55215,776,11321,1845,2538,724,2599,815,1023,600,12589,3039,5204,4592,,,,,,,,,,,,,,,
02/01/2023,United States,2020,43,2020-10-24,62189,56847,728,11677,1835,2572,766,2698,796,944,604,12870,3078,6000,5330,,,,,,,,,,,,,,,
02/01/2023,United States,2020,44,2020-10-31,63425,58053,699,11528,1937,2460,793,2569,833,921,579,13154,3104,7031,6260,,,,,,,,,,,,,,,
02/01/2023,United States,2020,45,2020-11-07,67590,61742,765,11808,1961,2664,801,2896,814,1028,674,13675,3159,8766,7847,,,,,,,,,,,,,,,
02/01/2023,United States,2020,46,2020-11-14,68823,63215,795,11745,2025,2737,847,2753,858,1022,593,13467,3175,10654,9581,,,,,,,,,,,,,,,
02/01/2023,United States,2020,47,2020-11-21,71698,66260,819,11633,2117,2656,831,2816,857,1032,686,13655,3215,13365,12074,,,,,,,,,,,,,,,
02/01/2023,United States,2020,48,2020-11-28,73305,67907,773,11395,2156,2774,810,2755,861,1043,687,13560,3127,15628,14135,,,,,,,,,,,,,,,
02/01/2023,United States,2020,49,2020-12-05,77448,71990,844,11358,2214,2843,916,2836,903,1035,704,14310,3313,18579,16861,,,,,,,,,,,,,,,
02/01/2023,United States,2020,50,2020-12-12,82006,76426,836,11904,2303,2934,953,3032,969,1086,722,14576,3479,20940,19080,,,,,,,,,,,,,,,
02/01/2023,United States,2020,51,2020-12-19,82938,77523,840,11781,2356,3060,948,2948,920,1020,713,14757,3468,22342,20437,,,,,,,,,,,,,,,
02/01/2023,United States,2020,52,2020-12-26,84371,78718,858,11694,2330,2982,978,2861,922,1124,771,14842,3385,23399,21376,,,,,,,,,,,,,,,
02/01/2023,United States,2020,53,2021-01-02,87033,81119,894,11694,2448,3075,1011,3060,904,1111,712,15230,3509,24892,22760,,,,,,,,,,,,,,,
02/01/2023,United States,2021,1,2021-01-09,87095,81220,854,11340,2377,2946,1026,2956,936,1160,658,15115,3372,26027,23954,,,,,,,,,,,,,,,
02/01/2023,United States,2021,2,2021-01-16,87415,81622,828,11852,2473,2996,998,2939,963,1224,679,15012,3535,25738,23526,,,,,,,,,,,,,,,
02/01/2023,United States,2021,3,2021-01-23,83682,78097,839,11582,2217,2931,923,2816,899,1188,658,14614,3451,23730,21685,,,,,,,,,,,,,,,
02/01/2023,United States,2021,4,2021-01-30,79202,73653,783,11694,2183,2650,903,2783,954,1165,618,14306,3295,20362,18441,,,,,,,,,,,,,,,
02/01/2023,United States,2021,5,2021-02-06,76514,70618,833,11607,2106,2598,843,2861,926,1133,672,14426,3325,17067,15268,,,,,,,,,,,,,,,
02/01/2023,United States,2021,6,2021-02-13,71527,65885,833,11489,2092,2397,856,2656,895,1113,606,13972,3402,13550,12036,,,,,,,,,,,,,,,
02/01/2023,United States,2021,7,2021-02-20,69515,63964,821,11416,2304,2495,880,2702,863,1070,625,14269,3194,10834,9511,,,,,,,,,,,,,,,
02/01/2023,United States,2021,8,2021-02-27,66740,60968,868,11615,2003,2484,794,2622,891,1084,584,13614,3220,8674,7526,,,,,,,,,,,,,,,
02/01/2023,United States,2021,9,2021-03-06,63703,57930,791,11438,1982,2306,842,2580,815,1068,574,13317,3183,6742,5792,,,,,,,,,,,,,,,
02/01/2023,United States,2021,10,2021-03-13,61891,56218,839,11418,1915,2300,782,2638,857,1021,582,13224,3097,5733,4794,,,,,,,,,,,,,,,
02/01/2023,United States,2021,11,2021-03-20,60374,54422,767,11297,1986,2184,751,2555,850,991,613,12787,3090,4911,4097,,,,,,,,,,,,,,,
02/01/2023,United States,2021,12,2021-03-27,60817,54983,741,11425,1922,2252,695,2678,842,1034,608,13113,3127,4464,3780,,,,,,,,,,,,,,,
02/01/2023,United States,2021,13,2021-04-03,58699,52889,702,11099,1945,2049,704,2516,847,1013,598,12568,2954,4213,3539,,,,,,,,,,,,,,,
02/01/2023,United States,2021,14,2021-04-10,60998,54675,713,11570,1905,2186,752,2617,782,1040,624,12971,3063,4325,3658,,,,,,,,,,,,,,,
02/01/2023,United States,2021,15,2021-04-17,59174,53235,685,11389,1809,1966,684,2473,773,980,594,12814,3114,4461,3775,,,,,,,,,,,,,,,
02/01/2023,United States,2021,16,2021-04-24,60260,54276,729,11580,1907,2039,703,2566,864,981,573,12999,3102,4614,3945,,,,,,,,,,,,,,,
02/01/2023,United States,2021,17,2021-05-01,59833,54013,707,11621,1911,2125,692,2618,839,997,560,12832,2945,4180,3607,,,,,,,,,,,,,,,
02/01/2023,United States,2021,18,2021-05-08,59029,52995,700,11362,1896,2098,699,2585,843,917,585,12695,2982,4015,3445,,,,,,,,,,,,,,,
02/01/2023,United States,2021,19,2021-05-15,58469,52587,690,11542,1871,2015,670,2523,836,967,582,12431,2978,3694,3170,,,,,,,,,,,,,,,
02/01/2023,United States,2021,20,2021-05-22,58760,52630,711,11601,1717,2165,641,2622,865,971,603,12408,3012,3245,2755,,,,,,,,,,,,,,,
02/01/2023,United States,2021,21,2021-05-29,57343,51383,726,11276,1784,2009,659,2571,835,1023,586,12486,2926,2783,2314,,,,,,,,,,,,,,,
02/01/2023,United States,2021,22,2021-06-05,57459,51170,701,11497,1739,2040,634,2581,799,957,588,12463,2869,2353,2002,,,,,,,,,,,,,,,
02/01/2023,United States,2021,23,2021-06-12,57160,50783,738,11356,1815,2092,672,2617,820,956,591,12448,2866,2048,1682,,,,,,,,,,,,,,,
02/01/2023,United States,2021,24,2021-06-19,57243,50975,726,11531,1806,2095,641,2581,875,995,597,12606,2919,1783,1434,,,,,,,,,,,,,,,
02/01/2023,United States,2021,25,2021-06-26,56952,50741,747,11502,1856,1981,692,2646,898,947,655,12416,2961,1639,1320,,,,,,,,,,,,,,,
02/01/2023,United States,2021,26,2021-07-03,57530,51136,752,11581,1824,2053,625,2642,820,975,665,12606,3017,1548,1235,,,,,,,,,,,,,,,
02/01/2023,United States,2021,27,2021-07-10,57219,50732,772,11511,1726,1972,714,2602,881,998,650,12504,2882,1650,1352,,,,,,,,,,,,,,,
02/01/2023,United States,2021,28,2021-07-17,57217,51087,775,11581,1777,2025,719,2720,840,955,627,12231,2963,1995,1697,,,,,,,,,,,,,,,
02/01/2023,United States,2021,29,2021-07-24,58439,52271,780,11542,1797,2038,686,2680,783,942,692,12467,2996,2770,2422,,,,,,,,,,,,,,,
02/01/2023,United States,2021,30,2021-07-31,60353,54170,771,11652,1773,2137,746,2592,842,982,658,12797,2918,4126,3730,,,,,,,,,,,,,,,
02/01/2023,United States,2021,31,2021-08-07,63800,57389,771,11793,1914,2158,736,2825,822,998,621,12921,2989,6500,5950,,,,,,,,,,,,,,,
02/01/2023,United States,2021,32,2021-08-14,67050,60840,803,11996,2015,2156,774,2711,867,946,761,13193,2965,9424,8771,,,,,,,,,,,,,,,
02/01/2023,United States,2021,33,2021-08-21,69962,63769,764,11882,1952,2193,776,2794,861,1032,708,13146,3068,12205,11377,,,,,,,,,,,,,,,
02/01/2023,United States,2021,34,2021-08-28,72188,65911,743,11780,2011,2274,812,2732,931,1039,728,13421,2990,14208,13303,,,,,,,,,,,,,,,
02/01/2023,United States,2021,35,2021-09-04,73544,67248,774,11733,2009,2316,751,2706,841,1041,754,13414,3079,15536,14567,,,,,,,,,,,,,,,
02/01/2023,United States,2021,36,2021-09-11,73763,67320,832,11534,2042,2262,868,2692,901,1045,759,13446,3129,15449,14474,,,,,,,,,,,,,,,
02/01/2023,United States,2021,37,2021-09-18,73317,67119,827,11845,2034,2379,839,2805,925,1059,717,13157,3056,15243,14193,,,,,,,,,,,,,,,
02/01/2023,United States,2021,38,2021-09-25,72188,66027,813,11743,2017,2320,818,2747,868,1043,707,13068,3086,14375,13403,,,,,,,,,,,,,,,
02/01/2023,United States,2021,39,2021-10-02,71374,65119,888,11901,1979,2304,843,2757,894,1064,744,13259,3065,12856,11869,,,,,,,,,,,,,,,
02/01/2023,United States,2021,40,2021-10-09,69136,63023,843,11746,1958,2272,794,2765,866,982,696,13255,3119,11196,10305,,,,,,,,,,,,,,,
02/01/2023,United States,2021,41,2021-10-16,67551,61594,848,11699,1873,2168,860,2787,885,1037,669,13179,3104,9902,9039,,,,,,,,,,,,,,,
02/01/2023,United States,2021,42,2021-10-23,67064,61156,877,11752,1895,2296,803,2736,943,1018,679,13212,3176,8957,8101,,,,,,,,,,,,,,,
02/01/2023,United States,2021,43,2021-10-30,66479,60493,817,11749,2023,2285,843,2690,873,1070,702,13360,3196,7974,7203,,,,,,,,,,,,,,,
02/01/2023,United States,2021,44,2021-11-06,66648,60308,816,11710,2020,2316,908,2893,939,1076,736,13429,3242,7303,6512,,,,,,,,,,,,,,,
02/01/2023,United States,2021,45,2021-11-13,67467,61495,832,11918,2066,2483,829,2791,955,1069,789,13788,3278,7174,6472,,,,,,,,,,,,,,,
02/01/2023,United States,2021,46,2021-11-20,66964,61039,815,11650,2008,2421,913,2809,933,1073,720,13815,3205,7325,6549,,,,,,,,,,,,,,,
02/01/2023,United States,2021,47,2021-11-27,67969,62180,902,11717,2082,2444,882,2861,944,1031,759,14009,3314,7897,7077,,,,,,,,,,,,,,,
02/01/2023,United States,2021,48,2021-12-04,70182,64113,891,11863,2068,2401,948,2904,934,1171,822,14275,3395,8792,7993,,,,,,,,,,,,,,,
02/01/2023,United States,2021,49,2021-12-11,72148,66090,817,12100,2120,2384,1053,3091,991,1102,799,14656,3360,9744,8864,,,,,,,,,,,,,,,
02/01/2023,United States,2021,50,2021-12-18,71335,65423,859,11672,2132,2432,998,3056,988,1123,775,14378,3357,10267,9380,,,,,,,,,,,,,,,
02/01/2023,United States,2021,51,2021-12-25,72328,66514,859,11853,2108,2542,1080,3145,970,1168,865,14747,3317,10474,9477,,,,,,,,,,,,,,,
02/01/2023,United States,2021,52,2022-01-01,74454,68525,908,11673,2297,2497,1143,3180,961,1246,931,15019,3351,11695,10502,,,,,,,,,,,,,,,
02/01/2023,United States,2022,1,2022-01-08,79790,73827,961,11970,2416,2618,1224,3399,1054,1311,797,16137,3484,15138,13287,,,,,,,,,,,,,,,
02/01/2023,United States,2022,2,2022-01-15,85091,79114,947,12269,2548,3006,1127,3321,1068,1339,762,16525,3789,19111,16669,,,,,,,,,,,,,,,
02/01/2023,United States,2022,3,2022-01-22,85633,79761,861,11961,2591,2946,1092,3219,995,1348,790,16175,3825,21369,18444,,,,,,,,,,,,,,,
02/01/2023,United States,2022,4,2022-01-29,85038,79217,870,11913,2459,2981,1034,3268,1035,1285,793,16039,3757,20992,18050,,,,,,,,,,,,,,,
02/01/2023,United States,2022,5,2022-02-05,81157,75108,837,11736,2419,2950,965,3109,967,1274,708,15437,3529,18763,15811,,,,,,,,,,,,,,,
02/01/2023,United States,2022,6,2022-02-12,77065,70898,832,11822,2219,2742,939,3025,952,1278,744,14927,3616,15322,12696,,,,,,,,,,,,,,,
02/01/2023,United States,2022,7,2022-02-19,70845,64814,840,11624,2005,2498,817,2875,940,1189,727,14323,3359,11553,9329,,,,,,,,,,,,,,,
02/01/2023,United States,2022,8,2022-02-26,66009,60186,809,11240,1928,2410,856,2789,896,1186,702,13654,3352,8285,6502,,,,,,,,,,,,,,,
02/01/2023,United States,2022,9,2022-03-05,64447,58386,844,11545,2025,2311,865,2776,970,1196,695,13645,3300,6046,4629,,,,,,,,,,,,,,,
02/01/2023,United States,2022,10,2022-03-12,61819,55862,798,11498,1943,2176,786,2763,889,1200,672,13466,3215,4399,3221,,,,,,,,,,,,,,,
02/01/2023,United States,2022,11,2022-03-19,60533,54626,780,11550,1959,2140,784,2826,948,1090,720,13392,3104,3120,2114,,,,,,,,,,,,,,,
02/01/2023,United States,2022,12,2022-03-26,58566,52994,826,11402,1914,2104,769,2682,856,1137,708,12885,3046,2506,1632,,,,,,,,,,,,,,,
02/01/2023,United States,2022,13,2022-04-02,58015,52402,766,11484,1799,2053,743,2715,921,1115,701,12807,3106,1907,1149,,,,,,,,,,,,,,,
02/01/2023,United States,2022,14,2022-04-09,57779,52087,752,11421,1863,2107,776,2718,872,1116,655,13058,3027,1557,909,,,,,,,,,,,,,,,
02/01/2023,United States,2022,15,2022-04-16,57788,52112,784,11467,1813,2135,807,2686,909,1032,747,12973,3074,1403,804,,,,,,,,,,,,,,,
02/01/2023,United States,2022,16,2022-04-23,56731,51154,730,11309,1772,2040,730,2655,849,1056,677,12791,3134,1345,790,,,,,,,,,,,,,,,
02/01/2023,United States,2022,17,2022-04-30,57337,51659,796,11407,1803,2082,777,2709,872,1065,739,12757,3077,1424,847,,,,,,,,,,,,,,,
02/01/2023,United States,2022,18,2022-05-07,57530,51712,714,11253,1832,2150,759,2840,891,1047,765,12846,2962,1430,867,,,,,,,,,,,,,,,
02/01/2023,United States,2022,19,2022-05-14,57955,52117,798,11600,1807,2096,783,2655,847,1022,749,12947,2967,1665,1046,,,,,,,,,,,,,,,
02/01/2023,United States,2022,20,2022-05-21,57744,51939,802,11659,1724,2060,802,2801,813,1081,714,12625,2984,1746,1094,,,,,,,,,,,,,,,
02/01/2023,United States,2022,21,2022-05-28,57146,51502,710,11358,1764,2157,740,2631,856,1036,751,12411,2993,1939,1297,,,,,,,,,,,,,,,
02/01/2023,United States,2022,22,2022-06-04,57635,51653,741,11336,1767,2169,781,2722,891,1039,784,12554,2978,1998,1309,,,,,,,,,,,,,,,
02/01/2023,United States,2022,23,2022-06-11,58107,52098,766,11634,1724,2166,735,2628,861,1041,833,12722,2968,2127,1403,,,,,,,,,,,,,,,
02/01/2023,United States,2022,24,2022-06-18,57849,51817,742,11198,1837,2081,768,2675,868,1031,766,12742,2986,2191,1432,,,,,,,,,,,,,,,
02/01/2023,United States,2022,25,2022-06-25,58352,52283,767,11560,1825,2054,698,2670,838,1085,841,12714,2978,2324,1528,,,,,,,,,,,,,,,
02/01/2023,United States,2022,26,2022-07-02,58155,52223,787,11646,1790,2115,704,2560,872,1020,956,12643,2972,2416,1596,,,,,,,,,,,,,,,
02/01/2023,United States,2022,27,2022-07-09,58217,52114,790,11407,1772,2121,708,2567,866,1042,924,12561,3016,2581,1718,,,,,,,,,,,,,,,
02/01/2023,United States,2022,28,2022-07-16,58499,52544,745,11460,1780,2088,674,2529,887,1003,1026,12727,2943,2917,1997,,,,,,,,,,,,,,,
02/01/2023,United States,2022,29,2022-07-23,59848,53829,785,11698,1801,2192,715,2561,880,1021,1070,12812,3076,3219,2146,,,,,,,,,,,,,,,
02/01/2023,United States,2022,30,2022-07-30,58783,53037,719,11632,1820,2110,664,2441,908,1052,1105,12721,2900,3384,2276,,,,,,,,,,,,,,,
02/01/2023,United States,2022,31,2022-08-06,59225,53334,764,11574,1718,2193,682,2612,824,1078,1208,12726,2938,3351,2266,,,,,,,,,,,,,,,
02/01/2023,United States,2022,32,2022-08-13,58657,52950,763,11667,1736,2054,661,2484,837,1012,1349,12437,2929,3262,2206,,,,,,,,,,,,,,,
02/01/2023,United States,2022,33,2022-08-20,58423,53148,732,11681,1780,2124,640,2523,874,1017,1265,12453,3089,3140,2128,,,,,,,,,,,,,,,
02/01/2023,United States,2022,34,2022-08-27,58168,52780,762,11531,1690,2160,651,2503,880,966,1354,12436,2981,3007,1959,,,,,,,,,,,,,,,
02/01/2023,United States,2022,35,2022-09-03,58030,52512,713,11850,1704,2075,619,2562,843,1011,1519,12158,2982,2900,1882,,,,,,,,,,,,,,,
02/01/2023,United States,2022,36,2022-09-10,58608,53051,760,11534,1758,2099,712,2511,842,1040,1646,12562,2966,2784,1768,,,,,,,,,,,,,,,
02/01/2023,United States,2022,37,2022-09-17,58166,53024,776,11802,1705,2179,696,2592,885,1081,1533,12356,2984,2480,1578,,,,,,,,,,,,,,,
02/01/2023,United States,2022,38,2022-09-24,58654,53441,817,11813,1789,2162,688,2593,864,1085,1605,12410,3073,2524,1594,,,,,,,,,,,,,,,
02/01/2023,United States,2022,39,2022-10-01,58390,53442,766,11681,1827,2125,671,2584,882,1015,1771,12470,3055,2357,1517,,,,,,,,,,,,,,,
02/01/2023,United States,2022,40,2022-10-08,59340,54269,739,11864,1813,2277,712,2666,831,1004,1983,12541,3141,2167,1346,,,,,,,,,,,,,,,
02/01/2023,United States,2022,41,2022-10-15,59449,54568,812,11775,1847,2247,726,2637,924,1066,1972,12902,3098,2109,1333,,,,,,,,,,,,,,,
02/01/2023,United States,2022,42,2022-10-22,59750,55134,797,11671,1854,2336,802,2818,907,1114,2109,12868,3101,2161,1361,,,,,,,,,,,,,,,
02/01/2023,United States,2022,43,2022-10-29,59661,55342,801,11652,1913,2367,752,2693,944,1106,2340,12948,3163,2203,1389,,,,,,,,,,,,,,,
02/01/2023,United States,2022,44,2022-11-05,60452,56093,842,11865,1893,2344,883,2868,920,1049,2588,12733,3151,2200,1405,,,,,,,,,,,,,,,
02/01/2023,United States,2022,45,2022-11-12,60361,56378,791,11787,1812,2312,957,2842,948,1112,2911,12951,3122,2151,1366,,,,,,,,,,,,,,,
02/01/2023,United States,2022,46,2022-11-19,60844,57159,801,11905,1942,2270,1054,2940,931,1134,2951,13220,3141,2204,1428,,,,,,,,,,,,,,,
02/01/2023,United States,2022,47,2022-11-26,63385,59830,906,11919,1978,2469,1193,3078,1033,1108,3330,13814,3356,2422,1587,,,,,,,,,,,,,,,
02/01/2023,United States,2022,48,2022-12-03,64260,60997,865,11761,2072,2547,1573,3230,1014,1101,3595,13892,3247,2488,1611,,,,,,,,,,,,,,,
02/01/2023,United States,2022,49,2022-12-10,64692,61694,873,11829,1888,2565,1693,3408,1075,1163,3765,13792,3262,2895,2000,,,,,,,,,,,,,,,
02/01/2023,United States,2022,50,2022-12-17,62762,60427,881,11670,1948,2386,1663,3215,1043,1160,3878,13537,3211,2982,2073,,,,,,,,,,,,,,,
02/01/2023,United States,2022,51,2022-12-24,61023,59798,868,11230,1972,2537,1542,3160,1005,1126,4000,13751,3066,2958,2038,,,,,,,,,,,,,,,
02/01/2023,United States,2022,52,2022-12-31,59106,58829,824,10627,1967,2647,1688,3198,1001,1078,3961,13448,3193,3091,2168,,,,,,,,,,,,,,,
02/01/2023,United States,2023,1,2023-01-07,58451,57508,856,10735,1822,2369,1562,3047,969,1109,3978,12586,3078,3323,2340,,,,,,,,,,,,,,,
02/01/2023,United States,2023,2,2023-01-14,50257,50230,736,9562,1453,2228,1136,2826,834,905,3405,11060,2685,2901,2041,,,,,,,,,,,,,,,
02/01/2023,United States,2023,3,2023-01-21,40525,40525,570,8325,1086,1793,773,2116,776,730,2618,8904,2220,2143,1408,,,,,,,,,,,,,,,
02/01/2023,Alabama,2020,1,2020-01-04,1082,1009,15,196,25,54,28,86,13,25,25,268,81,0,0,,,,,,,,,,,,,,,
02/01/2023,Alabama,2020,2,2020-01-11,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0,,,,,,,,,,,,,,,
02/01/2023,Alabama,2020,3,2020-01-18,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0,,,,,,,,,,,,,,,
02/01/2023,Alabama,2020,4,2020-01-25,1056,982,16,190,23,54,29,61,11,14,23,284,70,,0,,,,,,,,,,,,,,Suppressed (counts 1-9),
02/01/2023,Alabama,2020,5,2020-02-01,1026,949,15,157,16,58,31,76,17,20,23,265,55,0,0,,,,,,,,,,,,,,,
02/01/2023,Alabama,2020,6,2020-02-08,1120,1028,26,191,24,45,28,70,20,24,27,304,52,0,0,,,,,,,,,,,,,,,
02/01/2023,Alabama,2020,7,2020-02-15,1095,1020,17,193,24,50,35,74,23,18,25,255,81,0,0,,,,,,,,,,,,,,,
02/01/2023,Alabama,2020,8,2020-02-22,1098,1018,17,222,29,47,25,65,12,12,15,285,74,0,0,,,,,,,,,,,,,,,
02/01/2023,Alabama,2020,9,2020-02-29,1164,1093,20,212,28,62,30,88,20,21,25,294,60,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
02/01/2023,Alabama,2020,10,2020-03-07,1057,953,18,144,25,65,34,60,24,23,22,265,57,0,0,,,,,,,,,,,,,,,
02/01/2023,Alabama,2020,11,2020-03-14,1091,1013,16,199,31,65,30,75,28,27,20,265,69,0,0,,,,,,,,,,,,,,,
02/01/2023,Alabama,2020,12,2020-03-21,1059,986,17,227,25,46,26,67,24,22,16,263,72,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
02/01/2023,Alabama,2020,13,2020-03-28,1073,989,15,188,23,67,26,75,24,15,21,244,69,23,20,,,,,,,,,,,,,,,
02/01/2023,Alabama,2020,14,2020-04-04,1156,1077,27,202,34,74,23,67,24,22,25,257,68,49,45,,,,,,,,,,,,,,,
